Country,Year,Life Expectancy F,Life Expectancy M,Total Life Expectancy
islandia,2017,"84,30","81,10","82,60"
islandia,2016,"84,10","80,40","82,20"
islas-marshall,2021,"67,20","63,69","65,27"
islas-marshall,2020,"66,88","63,43","64,98"
islas-marshall,2019,"66,61","63,23","64,75"
islas-marshall,2018,"66,36","63,00","64,50"
islas-marshall,2017,"66,12","62,77","64,27"
islas-marshall,2016,"65,91","62,56","64,06"
islas-salomon,2021,"71,96","68,93","70,35"
islas-salomon,2020,"71,80","68,79","70,20"
islas-salomon,2019,"71,90","69,03","70,38"
islas-salomon,2018,"71,74","68,79","70,17"
islas-salomon,2017,"71,58","68,58","69,99"
islas-salomon,2016,"71,43","68,37","69,80"
israel,2021,"84,60","80,50","82,50"
israel,2020,"84,80","80,60","82,65"
israel,2019,"84,70","81,00","82,80"
israel,2018,"84,80","80,90","82,80"
israel,2017,"84,60","80,60","82,55"
israel,2016,"84,20","80,70","82,41"
italia,2021,"84,90","80,50","82,70"
italia,2020,"84,50","80,00","82,30"
italia,2019,"85,70","81,40","83,60"
italia,2018,"85,60","81,20","83,40"
italia,2017,"85,20","80,80","83,10"
italia,2016,"85,60","81,00","83,40"
jamaica,2021,"72,54","68,47","70,50"
jamaica,2020,"73,92","69,82","71,87"
jamaica,2019,"73,87","69,67","71,77"
jamaica,2018,"73,90","69,70","71,79"
jamaica,2017,"73,91","69,92","71,91"
jamaica,2016,"73,92","70,12","72,02"
japon,2021,"87,57","81,47","84,45"
japon,2020,"87,71","81,56","84,56"
japon,2019,"87,45","81,41","84,36"
japon,2018,"87,32","81,25","84,21"
japon,2017,"87,26","81,09","84,10"
japon,2016,"87,14","80,98","83,98"
jordania,2021,"76,77","72,13","74,26"
jordania,2020,"77,77","72,99","75,18"
jordania,2019,"78,51","73,89","76,04"
jordania,2018,"78,17","73,68","75,77"
jordania,2017,"77,83","73,46","75,50"
jordania,2016,"77,49","73,22","75,22"
kazajistan,2021,"74,03","66,33","70,23"
kazajistan,2020,"75,53","67,09","71,37"
kazajistan,2019,"77,30","68,82","73,18"
kazajistan,2018,"77,19","68,84","73,15"
kazajistan,2017,"76,92","68,72","72,95"
kazajistan,2016,"76,61","67,99","72,41"
kenia,2021,"64,09","58,94","61,43"
kenia,2020,"65,06","60,37","62,68"
kenia,2019,"65,28","60,68","62,94"
kenia,2018,"65,16","60,29","62,68"
kenia,2017,"64,96","60,09","62,48"
kenia,2016,"64,20","60,15","62,16"
kirguistan,2021,"76,10","67,90","71,90"
kirguistan,2020,"76,00","67,80","71,80"
kirguistan,2019,"75,80","67,60","71,60"
kirguistan,2018,"75,60","67,40","71,40"
kirguistan,2017,"75,40","67,20","71,20"
kirguistan,2016,"75,10","67,00","70,95"
kiribati,2021,"69,10","65,50","67,42"
kiribati,2020,"68,95","65,35","67,27"
kiribati,2019,"68,78","65,30","67,15"
kiribati,2018,"68,52","64,97","66,86"
kiribati,2017,"68,24","64,74","66,60"
kiribati,2016,"67,94","64,51","66,33"
kuwait,2021,"81,46","77,19","78,67"
kuwait,2020,"80,02","75,35","76,92"
kuwait,2019,"82,27","78,25","79,69"
kuwait,2018,"82,28","78,23","79,72"
kuwait,2017,"82,30","78,24","79,78"
kuwait,2016,"82,20","78,18","79,70"
laos,2021,"70,08","66,15","68,06"
laos,2020,"70,59","66,52","68,50"
laos,2019,"70,23","66,16","68,14"
laos,2018,"69,57","65,79","67,63"
laos,2017,"69,47","65,51","67,43"
laos,2016,"69,35","65,12","67,17"
lesoto,2021,"55,93","50,37","53,06"
lesoto,2020,"57,54","51,96","54,69"
lesoto,2019,"57,05","51,41","54,17"
lesoto,2018,"56,59","50,99","53,73"
lesoto,2017,"55,90","50,35","53,06"
lesoto,2016,"55,10","49,56","52,26"
letonia,2021,"78,00","68,20","73,10"
letonia,2020,"80,00","70,60","75,50"
letonia,2019,"80,10","70,90","75,70"
letonia,2018,"79,70","70,10","75,10"
letonia,2017,"79,70","69,80","74,90"
letonia,2016,"79,60","69,80","74,90"
libano,2021,"77,25","72,85","75,05"
libano,2020,"79,90","75,64","77,80"
libano,2019,"81,04","77,25","79,24"
libano,2018,"81,46","77,78","79,73"
libano,2017,"81,48","77,60","79,65"
libano,2016,"81,26","77,49","79,51"
liberia,2021,"62,07","59,41","60,75"
liberia,2020,"62,36","59,53","60,95"
liberia,2019,"62,30","59,89","61,10"
liberia,2018,"62,16","59,53","60,85"
liberia,2017,"61,69","59,39","60,55"
