,Year,Life Expectancy F,Life Expectancy M,Total Life Expectancy,Continent
523,2020,84.8,80.6,82.65,Asia
524,2019,84.7,81.0,82.8,Asia
525,2018,84.8,80.9,82.8,Asia
526,2017,84.6,80.6,82.55,Asia
527,2016,84.2,80.7,82.41,Asia
528,2021,84.9,80.5,82.7,Europa
529,2020,84.5,80.0,82.3,Europa
530,2019,85.7,81.4,83.6,Europa
531,2018,85.6,81.2,83.4,Europa
532,2017,85.2,80.8,83.1,Europa
533,2016,85.6,81.0,83.4,Europa
534,2021,72.54,68.47,70.5,América
535,2020,73.92,69.82,71.87,América
536,2019,73.87,69.67,71.77,América
537,2018,73.9,69.7,71.79,América
538,2017,73.91,69.92,71.91,América
539,2016,73.92,70.12,72.02,América
540,2021,87.57,81.47,84.45,Asia
541,2020,87.71,81.56,84.56,Asia
542,2019,87.45,81.41,84.36,Asia
543,2018,87.32,81.25,84.21,Asia
544,2017,87.26,81.09,84.1,Asia
545,2016,87.14,80.98,83.98,Asia
546,2021,76.77,72.13,74.26,Asia
547,2020,77.77,72.99,75.18,Asia
548,2019,78.51,73.89,76.04,Asia
549,2018,78.17,73.68,75.77,Asia
550,2017,77.83,73.46,75.5,Asia
551,2016,77.49,73.22,75.22,Asia
552,2021,74.03,66.33,70.23,Asia
553,2020,75.53,67.09,71.37,Asia
554,2019,77.3,68.82,73.18,Asia
555,2018,77.19,68.84,73.15,Asia
556,2017,76.92,68.72,72.95,Asia
557,2016,76.61,67.99,72.41,Asia
558,2021,64.09,58.94,61.43,África
559,2020,65.06,60.37,62.68,África
560,2019,65.28,60.68,62.94,África
561,2018,65.16,60.29,62.68,África
562,2017,64.96,60.09,62.48,África
563,2016,64.2,60.15,62.16,África
564,2021,76.1,67.9,71.9,Asia
565,2020,76.0,67.8,71.8,Asia
566,2019,75.8,67.6,71.6,Asia
567,2018,75.6,67.4,71.4,Asia
568,2017,75.4,67.2,71.2,Asia
569,2016,75.1,67.0,70.95,Asia
570,2021,69.1,65.5,67.42,Oceanía
571,2020,68.95,65.35,67.27,Oceanía
572,2019,68.78,65.3,67.15,Oceanía
573,2018,68.52,64.97,66.86,Oceanía
574,2017,68.24,64.74,66.6,Oceanía
575,2016,67.94,64.51,66.33,Oceanía
576,2021,81.46,77.19,78.67,Asia
577,2020,80.02,75.35,76.92,Asia
578,2019,82.27,78.25,79.69,Asia
579,2018,82.28,78.23,79.72,Asia
580,2017,82.3,78.24,79.78,Asia
581,2016,82.2,78.18,79.7,Asia
582,2021,70.08,66.15,68.06,Asia
583,2020,70.59,66.52,68.5,Asia
584,2019,70.23,66.16,68.14,Asia
585,2018,69.57,65.79,67.63,Asia
586,2017,69.47,65.51,67.43,Asia
587,2016,69.35,65.12,67.17,Asia
588,2021,55.93,50.37,53.06,África
589,2020,57.54,51.96,54.69,África
590,2019,57.05,51.41,54.17,África
591,2018,56.59,50.99,53.73,África
592,2017,55.9,50.35,53.06,África
593,2016,55.1,49.56,52.26,África
594,2021,78.0,68.2,73.1,Europa
595,2020,80.0,70.6,75.5,Europa
596,2019,80.1,70.9,75.7,Europa
597,2018,79.7,70.1,75.1,Europa
598,2017,79.7,69.8,74.9,Europa
599,2016,79.6,69.8,74.9,Europa
600,2021,77.25,72.85,75.05,Asia
601,2020,79.9,75.64,77.8,Asia
602,2019,81.04,77.25,79.24,Asia
603,2018,81.46,77.78,79.73,Asia
604,2017,81.48,77.6,79.65,Asia
605,2016,81.26,77.49,79.51,Asia
606,2021,62.07,59.41,60.75,África
607,2020,62.36,59.53,60.95,África
608,2019,62.3,59.89,61.1,África
609,2018,62.16,59.53,60.85,África
610,2017,61.69,59.39,60.55,África
611,2016,61.55,59.26,60.42,África
612,2021,74.4,69.63,71.91,África
613,2020,75.35,69.87,72.47,África
614,2019,75.77,69.5,72.46,África
615,2018,75.88,70.02,72.79,África
616,2017,75.67,69.63,72.48,África
617,2016,75.47,68.5,71.76,África
618,2021,78.8,69.5,74.2,Europa
619,2020,80.1,70.1,75.1,Europa
620,2019,81.2,71.6,76.5,Europa
621,2018,80.7,70.9,76.0,Europa
622,2017,80.5,70.7,75.8,Europa
623,2016,80.1,69.5,74.9,Europa
624,2021,84.8,80.5,82.7,Europa
625,2020,84.5,79.9,82.2,Europa
626,2019,85.2,80.2,82.7,Europa
627,2018,84.6,80.1,82.3,Europa
628,2017,84.4,79.9,82.1,Europa
629,2016,85.4,80.1,82.7,Europa
630,2021,75.5,71.1,73.2,Europa
631,2020,76.7,72.2,74.4,Europa
632,2019,78.6,74.7,76.6,Europa
633,2018,78.8,74.6,76.7,Europa
634,2017,77.9,74.1,76.0,Europa
635,2016,77.5,73.4,75.4,Europa
636,2021,66.87,62.23,64.49,África
637,2020,67.61,62.89,65.18,África
638,2019,68.21,63.66,65.88,África
639,2018,67.43,63.2,65.27,África
640,2017,67.24,63.04,65.09,África
641,2016,67.14,62.95,65.0,África
642,2021,77.36,72.66,74.88,Asia
643,2020,78.47,73.65,75.94,Asia
644,2019,78.31,73.47,75.76,Asia
645,2018,78.27,73.29,75.64,Asia
646,2017,78.14,73.1,75.48,Asia
647,2016,77.94,72.93,75.29,Asia
648,2021,66.47,59.49,62.9,África
649,2020,67.6,60.01,63.72,África
650,2019,67.97,60.4,64.12,África
651,2018,66.96,59.72,63.28,África
652,2017,66.64,59.45,62.98,África
653,2016,65.67,58.86,62.21,África
654,2021,81.02,79.08,79.92,Asia
655,2020,81.27,78.85,79.88,Asia
656,2019,81.16,79.32,80.12,Asia
657,2018,81.07,79.21,80.01,Asia
658,2017,81.06,79.1,79.94,Asia
659,2016,80.81,79.15,79.87,Asia
660,2021,60.33,57.62,58.94,África
661,2020,59.94,57.39,58.63,África
662,2019,60.84,58.52,59.66,África
663,2018,60.69,58.14,59.39,África
664,2017,60.24,58.06,59.13,África
665,2016,59.7,57.78,58.73,África
666,2021,84.3,80.8,82.5,Europa
667,2020,84.5,80.3,82.3,Europa
668,2019,84.6,81.2,82.9,Europa
669,2018,84.6,80.4,82.5,Europa
670,2017,84.6,80.2,82.4,Europa
671,2016,84.4,80.6,82.6,Europa
672,2021,76.4,71.89,74.04,África
673,2020,76.31,71.76,73.92,África
674,2019,76.45,72.25,74.27,África
675,2018,76.09,72.03,73.99,África
676,2017,75.66,71.78,73.66,África
677,2016,75.18,71.5,73.28,África
678,2021,77.24,70.29,73.68,África
679,2020,77.66,70.86,74.18,África
680,2019,77.56,71.07,74.24,África
681,2018,77.72,71.27,74.42,África
682,2017,77.89,71.3,74.51,África
683,2016,77.76,71.19,74.39,África
