Country,Year,Value,Max,Min
japon,2019,33.66,55.8,16.81
japon,2018,32.5,53.98,16.4
japon,2017,31.15,51.63,15.86
japon,2016,29.64,49.37,15.12
jordania,2021,49.83,75.26,28.12
jordania,2020,47.64,70.39,27.29
jordania,2019,44.8,65.32,26.06
jordania,2018,43.01,61.2,24.78
jordania,2017,42.94,60.81,24.96
jordania,2016,42.71,60.37,24.89
kazajistan,2021,54.93,90.99,22.09
kazajistan,2020,57.0,92.4,23.28
kazajistan,2019,55.79,91.21,22.89
kazajistan,2018,55.66,90.31,22.95
kazajistan,2017,55.25,90.73,22.75
kazajistan,2016,57.04,91.7,23.82
kenia,2021,20.74,33.35,11.3
kenia,2020,20.31,31.13,11.26
kenia,2019,19.8,31.39,10.9
kenia,2018,19.2,30.72,10.52
kenia,2017,18.6,30.48,10.15
kenia,2016,18.04,27.72,9.95
kirguistan,2021,44.37,69.68,19.9
kirguistan,2020,44.58,69.95,20.17
kirguistan,2019,44.3,70.02,20.08
kirguistan,2018,44.6,70.47,20.33
kirguistan,2017,45.73,72.05,20.72
kirguistan,2016,45.3,73.19,19.48
kiribati,2021,135.51,214.18,60.48
kiribati,2020,133.64,212.16,61.0
kiribati,2019,131.76,210.37,60.32
kiribati,2018,130.03,207.48,58.84
kiribati,2017,128.31,204.61,57.46
kiribati,2016,126.18,201.29,55.79
kuwait,2021,42.34,64.38,21.13
kuwait,2020,42.93,61.29,22.29
kuwait,2019,38.84,55.65,19.85
kuwait,2018,36.27,51.68,18.48
kuwait,2017,35.8,51.26,18.36
kuwait,2016,34.7,50.0,17.94
laos,2021,26.43,43.59,14.02
laos,2020,25.92,41.93,13.61
laos,2019,25.3,40.13,13.39
laos,2018,24.72,39.68,13.2
laos,2017,24.19,39.09,13.03
laos,2016,23.66,37.88,12.59
lesoto,2021,85.71,146.08,45.29
lesoto,2020,88.35,148.77,46.92
lesoto,2019,88.51,147.92,46.5
lesoto,2018,87.68,145.49,46.11
lesoto,2017,87.88,147.43,45.76
lesoto,2016,89.22,148.4,46.78
letonia,2021,161.24,261.53,77.64
letonia,2020,161.44,257.4,77.77
letonia,2019,157.27,252.02,74.6
letonia,2018,160.94,257.04,76.91
letonia,2017,158.07,249.74,74.29
letonia,2016,153.8,244.42,71.15
libano,2021,81.39,124.44,39.8
libano,2020,79.34,122.87,39.19
libano,2019,76.14,115.52,37.81
libano,2018,72.43,111.86,35.88
libano,2017,70.31,108.38,35.22
libano,2016,68.81,105.77,33.93
liberia,2021,33.26,52.72,18.58
liberia,2020,32.68,50.92,18.64
liberia,2019,31.92,50.03,18.16
liberia,2018,31.2,49.48,17.54
liberia,2017,30.93,49.07,17.36
liberia,2016,31.05,48.77,17.27
libia,2021,85.14,133.54,44.72
libia,2020,83.17,126.32,43.53
libia,2019,80.56,122.37,42.07
libia,2018,77.46,116.7,39.8
libia,2017,74.43,110.64,38.44
libia,2016,70.71,104.64,36.69
lituania,2021,146.46,242.57,62.08
lituania,2020,145.29,236.44,62.32
lituania,2019,143.5,233.53,60.96
lituania,2018,141.96,230.65,60.36
lituania,2017,139.16,228.27,58.02
lituania,2016,139.93,228.79,56.82
luxemburgo,2021,49.11,80.9,21.12
luxemburgo,2020,50.3,82.57,21.94
luxemburgo,2019,52.41,85.04,23.12
luxemburgo,2018,53.58,86.07,24.04
luxemburgo,2017,53.08,85.45,23.81
luxemburgo,2016,53.74,86.77,24.38
macedonia,2021,128.55,202.99,64.76
macedonia,2020,130.4,201.48,65.3
macedonia,2019,132.92,204.13,67.53
macedonia,2018,131.62,201.95,67.14
macedonia,2017,130.41,201.65,66.13
macedonia,2016,131.87,200.76,67.68
madagascar,2021,19.57,30.66,10.87
madagascar,2020,19.03,29.43,10.84
madagascar,2019,18.49,28.89,10.67
madagascar,2018,17.98,28.49,10.23
madagascar,2017,17.41,27.36,10.24
madagascar,2016,16.89,26.53,9.98
malasia,2021,39.39,60.54,17.7
malasia,2020,35.03,54.39,15.67
malasia,2019,36.63,56.92,16.54
malasia,2018,35.61,55.06,16.18
malasia,2017,34.58,53.64,15.75
malasia,2016,32.98,50.81,15.05
malaui,2021,18.25,29.34,10.42
malaui,2020,18.06,29.51,10.49
malaui,2019,17.63,28.74,10.12
malaui,2018,17.15,27.87,9.97
malaui,2017,16.63,27.0,9.57
malaui,2016,16.19,26.1,9.31
maldivas,2021,15.41,24.74,8.12
maldivas,2020,14.31,22.59,7.68
maldivas,2019,14.62,23.03,7.72
maldivas,2018,14.34,22.39,7.59
maldivas,2017,14.02,21.68,7.52
maldivas,2016,13.7,20.88,7.54
mali,2021,15.74,25.25,8.28
mali,2020,15.96,25.71,8.46
mali,2019,16.15,26.4,8.56
mali,2018,16.21,25.84,8.65
mali,2017,16.24,25.66,8.72
mali,2016,16.18,25.63,8.69
malta,2021,76.96,126.54,32.39
malta,2020,69.96,115.85,29.72
malta,2019,71.61,118.34,30.01
malta,2018,69.79,115.39,29.2
malta,2017,68.08,112.47,28.73
malta,2016,67.16,111.03,28.37
marruecos,2021,86.74,133.9,47.38
marruecos,2020,85.1,131.24,46.0
marruecos,2019,83.0,127.61,44.33
marruecos,2018,80.42,124.47,43.07
marruecos,2017,77.25,119.51,40.96
marruecos,2016,74.4,116.85,39.74
mauricio,2021,152.22,221.96,82.76
mauricio,2020,140.38,204.1,76.19
mauricio,2019,141.42,205.05,75.69
mauricio,2018,132.93,191.11,71.3
mauricio,2017,126.79,184.86,67.02
mauricio,2016,123.89,178.44,65.52
mauritania,2021,39.91,61.66,21.22
mauritania,2020,38.97,60.04,20.94
mauritania,2019,38.41,59.16,20.54
mauritania,2018,36.93,57.11,19.71
mauritania,2017,36.29,55.36,19.44
mauritania,2016,35.03,52.96,18.83
mexico,2021,90.38,132.07,47.67
mexico,2020,86.86,123.85,44.72
mexico,2019,84.6,123.06,44.86
mexico,2018,81.99,119.37,43.67
mexico,2017,79.96,116.46,43.25
mexico,2016,78.1,113.79,42.41
micronesia,2021,147.5,227.61,67.46
micronesia,2020,143.92,221.09,66.49
micronesia,2019,140.03,215.7,65.45
micronesia,2018,136.41,209.21,63.81
micronesia,2017,132.8,205.25,60.79
micronesia,2016,129.23,199.24,57.83
moldavia,2021,143.35,216.91,70.37
moldavia,2020,139.27,210.58,70.18
moldavia,2019,137.58,209.75,71.17
moldavia,2018,136.04,204.16,70.15
moldavia,2017,132.98,201.69,68.5
