,Year,Obesity Rate,Max,Min,Continent
500,2019,43.44,73.64,15.68,Europa
501,2018,43.28,73.46,15.75,Europa
502,2017,42.55,72.01,15.45,Europa
503,2016,42.94,72.96,15.88,Europa
504,2021,46.84,80.81,16.33,Europa
505,2020,45.07,78.15,15.7,Europa
506,2019,46.32,79.52,16.4,Europa
507,2018,46.01,79.38,16.46,Europa
508,2017,46.54,79.84,16.99,Europa
509,2016,47.03,80.39,17.37,Europa
510,2021,153.19,234.79,68.25,Oceanía
511,2020,149.73,228.61,66.49,Oceanía
512,2019,146.2,221.62,65.3,Oceanía
513,2018,142.81,217.69,64.28,Oceanía
514,2017,139.38,211.75,64.02,Oceanía
515,2016,135.92,206.09,62.6,Oceanía
516,2021,67.42,108.29,29.66,Oceanía
517,2020,67.27,107.7,29.65,Oceanía
518,2019,65.7,106.25,29.31,Oceanía
519,2018,63.8,102.98,28.31,Oceanía
520,2017,62.08,98.83,27.65,Oceanía
521,2016,60.09,95.78,27.02,Oceanía
522,2021,44.76,72.99,17.77,Asia
523,2020,44.89,73.3,17.97,Asia
524,2019,45.72,74.32,18.39,Asia
525,2018,45.05,72.75,18.19,Asia
526,2017,45.46,73.06,18.38,Asia
527,2016,46.02,73.91,18.84,Asia
528,2021,100.68,160.16,46.46,Europa
529,2020,100.42,160.21,45.99,Europa
530,2019,97.46,155.72,45.41,Europa
531,2018,96.22,153.37,44.94,Europa
532,2017,94.92,151.43,44.32,Europa
533,2016,92.27,147.14,43.29,Europa
534,2021,99.88,153.66,52.82,América
535,2020,96.0,149.12,50.83,América
536,2019,97.11,149.55,53.26,América
537,2018,93.15,141.54,51.7,América
538,2017,90.6,135.54,51.11,América
539,2016,88.42,131.85,49.06,América
540,2021,36.11,60.44,17.51,Asia
541,2020,34.05,56.34,16.83,Asia
542,2019,33.66,55.8,16.81,Asia
543,2018,32.5,53.98,16.4,Asia
544,2017,31.15,51.63,15.86,Asia
545,2016,29.64,49.37,15.12,Asia
546,2021,49.83,75.26,28.12,Asia
